id_actor,name_actor
ac0451148,Aamir Khan
ac2937122,Adrian Molina
ac0004778,Adrien Brody
ac0000199,Al Pacino
ac0000578,Anthony Perkins
ac0000216,Arnold Schwarzenegger
ac0851582,Audrey Tautou
ac0000255,Ben Affleck
ac0123785,Ben Burtt
ac0000093,Brad Pitt
ac0000246,Bruce Willis
ac0000026,Cary Grant
ac0000122,Charles Chaplin
ac0252230,Chiwetel Ejiofor
ac0158856,Choi Min-sik
ac0000288,Christian Bale
ac0000142,Clint Eastwood
ac0000358,Daniel Day-Lewis
ac0153738,Daveigh Chase
ac0798899,David Silverman
ac0001570,Edward Norton
ac0000704,Elijah Wood
ac0865918,Éric Toledano
ac0000719,F. Murray Abraham
ac0000037,Gene Kelly
ac0000060,Gregory Peck
ac0001602,Guy Pearce
ac0000148,Harrison Ford
ac0000172,Harvey Keitel
ac0000020,Henry Fonda
ac0000007,Humphrey Bogart
ac0000197,Jack Nicholson
ac0000071,James Stewart
ac0004937,Jamie Foxx
ac0001467,Jared Leto
ac0000606,Jean Reno
ac0000120,Jim Carrey
ac0001618,Joaquin Phoenix
ac0000149,Jodie Foster
ac0001054,Joel Coen
ac0000237,John Travolta
ac0001638,Jürgen Prochnow
ac0526199,Kátia Lund
ac0000206,Keanu Reeves
ac0001158,Keir Dullea
ac0000228,Kevin Spacey
ac0000018,Kirk Douglas
ac0000138,Leonardo DiCaprio
ac0000553,Liam Neeson
ac0586568,Mads Mikkelsen
ac0000532,Malcolm McDowell
ac0000434,Mark Hamill
ac0000008,Marlon Brando
ac0000640,Martin Sheen
ac0000190,Matthew McConaughey
ac0000546,Matthew Modine
ac0000154,Mel Gibson
ac0000150,Michael J. Fox
ac1886602,Miles Teller
ac0000151,Morgan Freeman
ac0000204,Natalie Portman
ac0000080,Orson Welles
ac0000048,Peter Lorre
ac0000564,Peter O'Toole
ac0709056,Peter Ramsey
ac0000634,Peter Sellers
ac0634159,Philippe Noiret
ac0000146,Ralph Fiennes
ac0201857,Ricardo Darín
ac0591450,Rob Minkoff
ac0000134,Robert De Niro
ac0000375,Robert Downey Jr.
ac0000905,Roberto Benigni
ac0000245,Robin Williams
ac0001702,Roy Scheider
ac0000128,Russell Crowe
ac1126340,Ryûnosuke Kamiki
ac0000554,Sam Neill
ac0000244,Sigourney Weaver
ac0814280,Song Kang-ho
ac1421814,Suriya
ac0000230,Sylvester Stallone
ac0619938,Tatsuya Nakadai
ac0000209,Tim Robbins
ac0000129,Tom Cruise
ac0000158,Tom Hanks
ac0001536,Toshirô Mifune
ac0851302,Tsutomu Tatsumi
ac0000061,Tyrone Power
ac0618057,Ulrich Mühe
ac0000235,Uma Thurman
ac0000696,Wil Wheaton
ac0000034,William Holden
ac0559444,Yôji Matsuda
ac9862858,Zain Al Rafeea
